the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E6100000CC5D4BC8077352C0BEF6CC92005D4440,3443172,4662293,172 STREET,,2023-09-14 11:30:00+00,40.72658,-73.79735,Queens,,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Driver Inattention/Distraction","Sedan,Sedan"
0101000020E6100000336E6AA0F96E52C04A5E9D6340584440,3443175,4662513,119 AVENUE,,2023-09-14 09:20:00+00,40.689465,-73.733986,Queens,11411,1,0,0,2,0,0,0,2,0,"Traffic Control Disregarded,Unsafe Speed","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E6100000962023A0C26F52C00EBDC5C37B584440,3443309,4662195,SPRINGFIELD BOULEVARD,,2023-09-13 17:14:00+00,40.691277,-73.746254,Queens,11411,1,0,0,1,0,0,0,1,0,"Passing or Lane Usage Improper,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E61000005C72DC291D7A52C0C4B2994352594440,3443589,4662800,CORNELIA STREET,,2023-09-11 20:30:00+00,40.697823,-73.90803,Queens,11237,1,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,PK
0101000020E61000002B1895D4097A52C09A7D1EA33C594440,3443093,4663053,HANCOCK STREET,,2023-09-15 13:00:00+00,40.697163,-73.90685,Queens,11385,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Motorscooter"
0101000020E61000004772F90FE97352C039D1AE42CA614440,3443287,4662479,154 STREET,,2023-09-14 20:20:00+00,40.763985,-73.8111,Queens,,1,1,0,0,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Bike"
0101000020E61000006688635DDC7452C0DAE55B1FD6614440,3443443,4662754,NORTHERN BOULEVARD,,2023-09-13 00:00:00+00,40.764347,-73.82595,Queens,11354,1,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
0101000020E6100000EAEC6470947452C0DEC7D11C59614440,3443302,4662759,PARSONS BOULEVARD,,2023-09-14 19:22:00+00,40.760532,-73.82156,Queens,11355,1,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
0101000020E61000009CE1067C7E7852C0200BD121705E4440,3443519,4662162,,81-05     QUEENS BOULEVARD,2023-09-13 06:11:00+00,40.737797,-73.88272,Queens,11373,1,0,0,1,0,0,0,1,0,"Unspecified,Unspecified",Station Wagon/Sport Utility Vehicle
0101000020E61000006FF59CF4BE7552C0876D8B321B5C4440,3443275,4662421,72 DRIVE,,2023-09-14 09:07:00+00,40.71958,-73.83978,Queens,11375,1,0,0,2,0,0,0,2,0,"Aggressive Driving/Road Rage,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
