the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E6100000508D976E127F52C0F3052D2460604440,3477868,4690315,AVENUE OF THE AMERICAS,,2023-12-03 01:51:00+00,40.752934,-73.9855,Manhattan,10018.0,1,0,0,2,0,0,1,2,1,"Unsafe Speed,Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000F4FDD478E97C52C0D15B3CBCE7684440,3477814,4690249,WEST 136 STREET,,2023-12-21 11:55:00+00,40.819572,-73.95175,Manhattan,,1,0,0,0,0,1,0,1,0,Unspecified,Van
0101000020E610000065A9F57EA37F52C009168733BF624440,3477789,4690334,WEST 57 STREET,,2023-12-22 10:30:00+00,40.77146,-73.994354,Manhattan,10019.0,1,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Reaction to Uninvolved Vehicle","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E610000056BC9179E47B52C0C9E53FA4DF664440,3477960,4690443,EAST 125 STREET,,2023-12-24 12:04:00+00,40.8037,-73.93582,Manhattan,10035.0,1,0,0,0,0,1,0,2,0,Driver Inattention/Distraction,E-Scooter
0101000020E6100000B7B41A12F77E52C008759142595C4440,3478118,4689741,EAST HOUSTON STREET,,2023-12-24 17:36:00+00,40.721474,-73.98383,Manhattan,10002.0,1,0,0,1,0,0,0,1,0,"Passing Too Closely,Passing Too Closely","moped,Sedan"
0101000020E6100000B0C91AF5107B52C03F19E3C3EC6D4440,3478020,4690400,HARLEM RIVER DRIVE,,2023-12-24 20:30:00+00,40.858788,-73.92291,Manhattan,,1,0,0,1,0,0,0,1,0,Unspecified,Sedan
0101000020E6100000FA7E6ABC747D52C06AF7AB00DF614440,3478200,4690427,,333       EAST 66 STREET,2023-12-22 13:38:00+00,40.764618,-73.96025,Manhattan,10065.0,1,0,0,1,0,0,0,1,0,"Passing Too Closely,Unspecified","Sedan,Box Truck"
0101000020E61000002FDD2406817F52C091B41B7DCC614440,3478140,4690335,WEST 49 STREET,,2023-12-23 18:33:00+00,40.764053,-73.99225,Manhattan,10019.0,1,1,0,0,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Bike"
0101000020E6100000BF9A0304737E52C079E92631085C4440,3477920,4690366,,525       EAST HOUSTON STREET,2023-12-25 19:00:00+00,40.719,-73.97577,Manhattan,10002.0,1,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Sedan,Sedan"
0101000020E61000003BC269C18B7F52C0F20C1AFA275C4440,3478149,4690522,DELANCEY STREET,,2023-12-23 20:00:00+00,40.71997,-73.992905,Manhattan,10002.0,1,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Taxi
0101000020E610000065A9F57EA37F52C009168733BF624440,3478052,4690342,WEST 57 STREET,,2023-12-24 16:30:00+00,40.77146,-73.994354,Manhattan,10019.0,1,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Sedan"
0101000020E6100000FD9FC37C797B52C09B560A815C664440,3478079,4690094,FDR DRIVE,,2023-12-24 08:30:00+00,40.799698,-73.92929,Manhattan,,1,0,0,1,0,0,0,1,0,"Brakes Defective,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000A9C29FE1CD7C52C0DDEEE53E39624440,3477957,4690131,FDR DRIVE,,2023-12-25 06:05:00+00,40.767372,-73.950066,Manhattan,,1,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E6100000E84D452A8C7D52C0B9196EC0E7634440,3478077,4689833,,6         TRANSVERSE ROAD NUMBER THREE,2023-12-24 23:10:00+00,40.78051,-73.96168,Manhattan,10000.0,1,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,E-Bike
0101000020E6100000959F54FB747E52C0E063B0E2545F4440,3478188,4690232,2 AVENUE,,2023-12-22 11:45:00+00,40.744778,-73.97589,Manhattan,10016.0,1,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
0101000020E6100000224F92AE997E52C012DBDD03745F4440,3478017,4689710,EAST 34 STREET,,2023-12-24 09:29:00+00,40.745728,-73.97813,Manhattan,10016.0,1,0,0,0,0,1,0,1,0,Driver Inexperience,Station Wagon/Sport Utility Vehicle
0101000020E6100000EDBB22F8DF7C52C0158DB5BFB3674440,3477922,4690284,WEST 125 STREET,,2023-12-25 16:55:00+00,40.810173,-73.95117,Manhattan,,1,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E61000000A68226C787C52C06EDDCD531D6A4440,3478045,4690476,WEST 151 STREET,,2023-12-24 17:58:00+00,40.82902,-73.94485,Manhattan,10031.0,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle,Bike"
