the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E61000004B598638D67952C053EC681CEA6D4440,3489668,4698649,EAST 183 STREET,,2024-01-20 00:08:00+00,40.858707,-73.9037,Bronx,10453.0,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified",Motorcycle
0101000020E610000096B20C71AC7752C0014EEFE2FD6A4440,3489479,4697952,CROSS BRONX EXPY,,2024-01-26 07:41:00+00,40.835873,-73.8699,Bronx,,1,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way,Unspecified","Tractor Truck Diesel,Station Wagon/Sport Utility Vehicle"
0101000020E6100000C66D3480B77852C02FF99FFCDD694440,3490129,4698978,,1207      WHITLOCK AVENUE,2024-01-19 09:08:00+00,40.827087,-73.8862,Bronx,10459.0,1,0,0,0,0,0,0,0,0,Unspecified,Sedan
0101000020E61000006F47382D787952C0639AE95E27694440,3490118,4698979,,870       EAST 163 STREET,2024-01-23 12:44:00+00,40.821514,-73.89796,Bronx,10459.0,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified","Sedan,Sedan"
0101000020E6100000E59B6D6E4C7952C064CA87A06A684440,3490114,4698980,LONGWOOD AVENUE,,2024-01-24 08:52:00+00,40.815754,-73.89529,Bronx,10455.0,1,0,0,0,0,0,0,0,0,"Turning Improperly,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E610000026361FD7867852C0D0B359F5B96A4440,3489966,4698862,EAST 173 STREET,,2024-01-27 05:29:00+00,40.8338,-73.88323,Bronx,10459.0,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified","Sedan,Sedan"
0101000020E61000005340DAFF007952C05BCD3AE3FB684440,3490094,4698984,BRUCKNER BOULEVARD,,2024-01-25 14:15:00+00,40.820187,-73.890686,Bronx,10459.0,1,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction,Unspecified","Sedan,Box Truck"
0101000020E61000000F7F4DD6A87952C0F67B629D2A6D4440,3490109,4698940,RYER AVENUE,,2024-01-24 23:25:00+00,40.852863,-73.90093,Bronx,,1,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction,Unspecified","AMBULANCE,Station Wagon/Sport Utility Vehicle"
0101000020E61000005019FF3EE37852C0E76F422102684440,3489961,4698992,,627       BARRETTO STREET,2024-01-27 21:27:00+00,40.812565,-73.88887,Bronx,10474.0,1,0,0,0,0,0,0,0,0,"Aggressive Driving/Road Rage,Unspecified","Sedan,Sedan"
0101000020E61000004DDBBFB2D27852C0EC33677DCA6B4440,3489897,4698590,MARMION AVENUE,,2024-01-27 15:19:00+00,40.842117,-73.88786,Bronx,10460.0,1,0,0,0,0,0,0,0,0,"View Obstructed/Limited,Unsafe Speed","Taxi,Station Wagon/Sport Utility Vehicle"
